ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
BP	GO:0044283	small molecule biosynthetic process	80/1342	474/11422	0.168776371308017	1.43648562822665	3.54152068512888	0.000464891880517605	0.01	0.01	4327738/4343906/4331598/4348636/4335627/4328435/4341792/4332547/4339521/4352495/4324773/4349718/107275641/4340579/4332607/4352498/4339684/4345328/4330037/4352147/4334049/9270356/4351460/4349745/4344382/4350083/4339289/4330451/4346642/4328992/4329432/4343443/4341584/4334794/4326358/4341305/4334640/4345690/4325071/4337355/4336983/4348632/4339583/4333613/4344361/4348268/4346054/4336384/4333896/4350591/4351464/4338768/4350817/4332108/4352832/4331417/4348450/4345286/4350456/4332274/9270715/4333072/107275880/4325027/4341713/4337165/4333823/4330104/4338358/4347311/4332095/4334233/4331528/4352747/4329509/4332434/4328508/4337286/4333719/4325272	80	GO:0044283: small molecule biosynthetic process
BP	GO:0051649	establishment of localization in cell	65/1342	477/11422	0.136268343815514	1.15980404102891	1.30087965459017	0.01	0.01	0.01	9270655/4330379/4345847/4344467/4331721/4352428/4337014/4331680/4335642/4346811/4332042/4346809/4325047/4338016/4338276/4331645/4333825/4337419/4332330/4340037/4327028/4333886/4337342/4338497/4340257/4338463/4334998/4332834/4337006/4329170/4352271/4339486/4348915/4352566/4348999/4334335/4334173/4343696/4324088/4333035/4346088/4334849/4351956/4326915/4343605/4337189/4331353/4341611/9268894/9266663/4332118/4338268/4351323/9269169/4333661/4337505/9272347/4341266/4339274/4333909/4323876/4346691/9267670/4324745/9266052	65	GO:0051649: establishment of localization in cell
BP	GO:0032787	monocarboxylic acid metabolic process	63/1342	304/11422	0.207236842105263	1.76382951604047	4.92513286617864	4.00179046682827e-06	0.00575857648176588	0.00556038254338244	4327738/4349774/4343906/4326769/4335627/4328435/4326503/4341792/4332547/4338007/4341070/4352495/107275641/4340579/4326788/4352498/4339684/4338276/4326547/4330037/4339846/4334049/4329892/4330183/4339289/4337006/4330451/4328992/4347022/4329432/4324666/4336983/4348632/4338583/4333694/4343113/4336384/4324491/4350548/4350817/4331779/4327968/4336637/4348450/4345286/4324825/4342654/4341069/107275880/4336928/4325027/4337165/4333823/4330104/4338358/4341801/4347311/4334233/4344564/4325272/4334003/4328997/4337406	63	GO:0032787: monocarboxylic acid metabolic process
BP	GO:0055085	transmembrane transport	63/1342	446/11422	0.141255605381166	1.20225150869126	1.58977333262266	0.01	0.01	0.01	4327122/4336319/4337945/4346111/4349462/4346811/4332042/4346809/4338276/4334833/4348651/4346116/4327028/4337433/4347809/4350361/4325287/4328798/4332049/107276021/4345334/4337006/4339082/4330700/4329844/4337235/4348915/4352524/4328874/4334854/4331674/107275756/4336755/4336250/4338040/4331585/4338277/4341965/4352910/4349429/4336655/4336684/4341611/9268894/4350285/4328864/4337643/4342862/4340195/4347248/4336377/9272347/4344391/4351065/4331797/4339274/4340924/4351717/4339080/4337257/4341285/4325272/4337604	63	GO:0055085: transmembrane transport
BP	GO:0019637	organophosphate metabolic process	62/1342	432/11422	0.143518518518519	1.22151156372468	1.71252723807663	0.01	0.01	0.01	4331392/4331292/4346680/4335559/4344468/4341467/4337509/4350084/4331746/4348512/4351721/4346083/4328220/9267826/4326547/4327964/4332721/4347887/4339242/4332969/4325585/4347383/4331418/4332194/4347022/4339882/4345756/4324666/4325071/4338791/4345366/4343113/4344386/4339200/4338768/4327968/4336637/4325416/4348450/4326817/4345898/4338034/4342654/4332431/4339554/4325027/107276153/4347654/107276788/9270575/4335862/9272561/4341801/4344972/4330515/4344470/4329509/4340951/4337286/4334003/4332501/4331059	62	GO:0019637: organophosphate metabolic process
BP	GO:0046907	intracellular transport	62/1342	462/11422	0.134199134199134	1.14219263101528	1.1383894399639	0.01	0.01	0.01	9270655/4330379/4345847/4344467/4331721/4352428/4337014/4331680/4335642/4346811/4332042/4346809/4325047/4338276/4331645/4333825/4337419/4332330/4340037/4327028/4333886/4337342/4338497/4340257/4338463/4334998/4332834/4337006/4329170/4352271/4339486/4348915/4352566/4348999/4334335/4334173/4343696/4324088/4346088/4334849/4326915/4343605/4337189/4331353/4341611/9268894/9266663/4332118/4338268/4351323/9269169/4333661/4337505/9272347/4341266/4339274/4333909/4323876/4346691/9267670/4324745/9266052	62	GO:0046907: intracellular transport
BP	GO:0016053	organic acid biosynthetic process	61/1342	350/11422	0.174285714285714	1.48337662337662	3.35123347028108	0.000948904218026968	0.01	0.01	4327738/4343906/4348636/4335627/4332547/4339521/4352495/4324773/107275641/4340579/4332607/4352498/4339684/4345328/4330037/4352147/4334049/4351460/4349745/4350083/4339289/4330451/4346642/4328992/4329432/4341584/4334794/4326358/4341305/4334640/4345690/4336983/4348632/4339583/4333613/4344361/4346054/4336384/4333896/4351464/4350817/4332108/4352832/4331417/4348450/4345286/4350456/9270715/107275880/4341713/4337165/4333823/4330104/4338358/4332095/4334233/4331528/4352747/4332434/4328508/4325272	61	GO:0016053: organic acid biosynthetic process
BP	GO:0046394	carboxylic acid biosynthetic process	61/1342	350/11422	0.174285714285714	1.48337662337662	3.35123347028108	0.000948904218026968	0.01	0.01	4327738/4343906/4348636/4335627/4332547/4339521/4352495/4324773/107275641/4340579/4332607/4352498/4339684/4345328/4330037/4352147/4334049/4351460/4349745/4350083/4339289/4330451/4346642/4328992/4329432/4341584/4334794/4326358/4341305/4334640/4345690/4336983/4348632/4339583/4333613/4344361/4346054/4336384/4333896/4351464/4350817/4332108/4352832/4331417/4348450/4345286/4350456/9270715/107275880/4341713/4337165/4333823/4330104/4338358/4332095/4334233/4331528/4352747/4332434/4328508/4325272	61	GO:0046394: carboxylic acid biosynthetic process
BP	GO:0005976	polysaccharide metabolic process	58/1342	372/11422	0.155913978494624	1.32701152188196	2.3396529596978	0.0143152451760226	0.01	0.01	4350319/4340018/4332569/4331598/4348392/4348365/107276048/4325131/4349771/4324641/4339718/4337139/4341389/4330709/4329416/4337384/4348080/4347903/4326594/4334710/4350320/4350824/4325690/4351267/4334574/4337170/4339732/4348853/4334515/4351401/4345284/4342364/4331259/4347918/107276216/4349011/4337222/4324962/4344369/9269982/4341833/4352627/4349505/4324349/4340679/4324842/4329045/4344290/9266490/4345019/9269298/4325514/9269523/4333759/4337056/4341941/4337958/4338720	58	GO:0005976: polysaccharide metabolic process
BP	GO:0006520	amino acid metabolic process	57/1342	332/11422	0.171686746987952	1.46125635178568	3.11202936352401	0.00195833106027292	0.01	0.01	4332018/4336750/4334405/4342480/4342210/4339521/4329580/4347497/4324773/4349718/4331017/4345328/4330037/4324672/4351460/4349745/4344382/4350083/4329560/4346642/4328992/4333932/4325167/4341584/4334794/4334640/4345690/4336983/4339583/4333345/4333613/4337051/4333896/4351413/4349694/4331779/4332108/4352832/4331417/4335977/4350456/4337930/4339329/9270715/4325717/4341516/4325932/4335708/4348211/4345605/4341713/4337165/4332095/4331528/4352747/4332434/4328508	57	GO:0006520: amino acid metabolic process
