category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Global and overview maps	dosa01200	Carbon metabolism	48/545	226/3900	0.212389380530973	1.51985061297394	3.24482896798812	0.00137329442598547	0.01	0.01	Os11g0148500/Os01g0188400/Os03g0794500/Os06g0668200/Os07g0108300/Os02g0115700/Os05g0186300/Os06g0486900/Os01g0764900/Os01g0874900/Os01g0742500/Os06g0133800/Os07g0181000/Os06g0103500/Os02g0601300/Os01g0723400/Os09g0408600/Os04g0479200/Os04g0390000/Os01g0722700/Os01g0866400/Os11g0538900/Os03g0672300/Os10g0204400/Os04g0623800/Os07g0446800/Os03g0129300/Os03g0189400/Os11g0455800/Os05g0194900/Os02g0562700/Os07g0197100/Os06g0611900/Os01g0711400/Os06g0486800/Os01g0905800/Os09g0529100/Os06g0655100/Os07g0621800/Os02g0244700/Os09g0465600/Os03g0133900/Os01g0829800/Os08g0126300/Os04g0623500/Os04g0107200/Os01g0328700/Os04g0677500	48
Metabolism	Global and overview maps	dosa01230	Biosynthesis of amino acids	34/545	178/3900	0.191011235955056	1.36686939490774	2.01911895871051	0.0318180361762352	0.01	0.01	Os11g0148500/Os06g0668200/Os07g0108300/Os05g0549700/Os01g0874900/Os02g0797500/Os08g0342400/Os06g0133800/Os07g0181000/Os02g0601300/Os12g0138900/Os09g0294000/Os04g0479200/Os03g0431200/Os03g0850400/Os03g0826500/Os08g0441600/Os11g0538900/Os05g0558400/Os03g0655700/Os03g0672300/Os03g0712800/Os03g0223400/Os12g0623900/Os11g0455800/Os05g0194900/Os01g0905800/Os06g0655100/Os04g0640600/Os03g0133900/Os03g0279400/Os08g0126300/Os02g0180500/Os04g0677500	34
Metabolism	Global and overview maps	dosa01240	Biosynthesis of cofactors	29/545	190/3900	0.152631578947368	1.09222597778851	0.525256844738918	0.01	0.01	0.01	Os07g0616200/Os10g0417600/Os03g0268400/Os04g0557000/Os01g0874900/Os08g0496000/Os02g0134400/Os12g0443600/Os08g0532200/Os05g0511500/Os02g0273100/Os07g0529600/Os06g0109600/Os01g0271200/Os01g0238500/Os04g0610800/Os05g0474600/Os05g0558400/Os01g0957000/Os08g0327400/Os01g0127900/Os11g0455800/Os05g0517500/Os06g0187200/Os06g0214900/Os04g0429800/Os08g0109300/Os03g0679700/Os01g0328700	29
Metabolism	Carbohydrate metabolism	dosa00500	Starch and sucrose metabolism	26/545	125/3900	0.208	1.48844036697248	2.23684908302124	0.0214980959612047	0.01	0.01	Os06g0133000/Os03g0212800/Os02g0534400/Os05g0580000/Os01g0742500/Os02g0744700/Os09g0511600/Os07g0510200/Os09g0569200/Os01g0633100/Os01g0722700/Os07g0446800/Os08g0509200/Os07g0624600/Os01g0894300/Os07g0197100/Os02g0139300/Os06g0676700/Os06g0256900/Os09g0465600/Os03g0703000/Os09g0255000/Os05g0449600/Os01g0508000/Os04g0624600/Os05g0517200	26
Metabolism	Carbohydrate metabolism	dosa00010	Glycolysis / Gluconeogenesis	25/545	112/3900	0.223214285714286	1.59731323722149	2.58484658461786	0.0100647148696381	0.01	0.01	Os11g0148500/Os06g0668200/Os01g0742500/Os07g0181000/Os02g0601300/Os11g0210300/Os07g0693100/Os09g0408600/Os01g0722700/Os01g0866400/Os05g0474600/Os03g0672300/Os10g0204400/Os07g0446800/Os10g0159800/Os03g0189400/Os05g0194900/Os07g0197100/Os01g0905800/Os07g0621800/Os09g0465600/Os11g0210600/Os08g0126300/Os01g0328700/Os04g0677500	25
Metabolism	Carbohydrate metabolism	dosa00520	Amino sugar and nucleotide sugar metabolism	24/545	108/3900	0.222222222222222	1.59021406727829	2.5067780095292	0.012207543147445	0.01	0.01	Os03g0115100/Os10g0417600/Os03g0268400/Os11g0217300/Os05g0115900/Os05g0580000/Os04g0636100/Os01g0742500/Os02g0498700/Os12g0443600/Os01g0633100/Os11g0592300/Os01g0722700/Os07g0446800/Os12g0128700/Os08g0327100/Os07g0139400/Os01g0127900/Os01g0894300/Os07g0197100/Os04g0608100/Os06g0187200/Os09g0465600/Os05g0399700	24
Metabolism	Global and overview maps	dosa01250	Biosynthesis of nucleotide sugars	20/545	77/3900	0.25974025974026	1.85869176694865	3.06696711245367	0.00353043117372548	0.01	0.01	Os03g0115100/Os10g0417600/Os03g0268400/Os11g0217300/Os05g0580000/Os01g0742500/Os12g0443600/Os01g0633100/Os01g0722700/Os06g0561000/Os07g0446800/Os07g0139400/Os01g0127900/Os01g0894300/Os07g0197100/Os04g0608100/Os06g0187200/Os06g0137700/Os09g0465600/Os05g0561500	20
Metabolism	Carbohydrate metabolism	dosa00620	Pyruvate metabolism	19/545	79/3900	0.240506329113924	1.72105446521891	2.60928611900393	0.0106337727990265	0.01	0.01	Os11g0148500/Os01g0188400/Os05g0186300/Os07g0181000/Os11g0210300/Os12g0138900/Os01g0723400/Os09g0408600/Os05g0474600/Os03g0672300/Os10g0204400/Os10g0159800/Os03g0189400/Os07g0621800/Os02g0244700/Os11g0210600/Os01g0829800/Os01g0328700/Os04g0677500	19
Metabolism	Carbohydrate metabolism	dosa00630	Glyoxylate and dicarboxylate metabolism	18/545	66/3900	0.272727272727273	1.95162635529608	3.14225178273153	0.00313267598914712	0.01	0.01	Os07g0108300/Os02g0115700/Os06g0486900/Os01g0764900/Os01g0874900/Os11g0538900/Os04g0623800/Os03g0712800/Os03g0223400/Os11g0455800/Os02g0562700/Os06g0611900/Os01g0711400/Os06g0486800/Os01g0829800/Os04g0623500/Os04g0107200/Os01g0328700	18
Metabolism	Amino acid metabolism	dosa00270	Cysteine and methionine metabolism	18/545	94/3900	0.191489361702128	1.37029084520789	1.46453959041802	0.01	0.01	0.01	Os04g0578000/Os03g0307200/Os02g0797500/Os08g0342400/Os11g0216900/Os09g0294000/Os03g0850400/Os05g0558400/Os06g0528600/Os07g0689600/Os03g0171900/Os12g0623900/Os06g0655100/Os01g0290600/Os03g0221200/Os03g0133900/Os12g0607000/Os01g0829800	18
