ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
BP	GO:0044283	small molecule biosynthetic process	84/1364	474/11422	0.177215189873418	1.48398233045028	3.96327965759047	0.000110251384446614	0.01	0.01	4339066/4333613/4330451/4334188/4339017/4346318/4326958/9266140/4329733/4336384/4348467/4332547/4344612/4327870/4324310/4348794/4336402/4349749/4351464/4340392/4326266/4336831/4344928/4349120/4330036/4352833/4330037/4332364/4342614/4334233/4336982/4346846/4332341/4326966/4326965/4337272/9270160/4334535/4328435/4325444/4337286/4332151/4350083/4334554/4324773/4332608/4352146/4337720/4341321/4331161/4337230/4336023/4325211/4329224/4352791/4332596/4340579/4332607/4349718/107275641/4352147/4333458/4352495/4339521/4334049/9270356/4339289/4344382/4351460/4349745/4346642/4329432/4328992/4343443/4334794/4341584/4337355/4326358/4334640/4341305/4330732/4325071/4336983/4345690	84	GO:0044283: small molecule biosynthetic process
BP	GO:0055085	transmembrane transport	67/1364	446/11422	0.150224215246637	1.25796260010783	2.04647084177237	0.0269635929587089	0.01	0.01	4330594/4349429/4324749/4330390/4337604/4331585/4328566/4340559/4338779/4342343/4337694/4335932/4352910/4347683/4335983/9271131/4334618/4341460/4332449/4344527/4327022/4346998/4327489/4345272/4324486/4328052/4328051/4328798/4337006/4338881/4331674/4342621/4327491/4349462/4346811/4332042/4346809/4350361/4337433/4327028/4342209/4347809/4325287/4332049/4333667/4337945/4348866/4346111/4325092/107276021/4336461/4339082/4330700/4345334/4329844/4336319/4337235/4348915/4340561/4325094/4352524/4327434/4324757/4328874/4329628/4334854/107275756	67	GO:0055085: transmembrane transport
BP	GO:0006520	amino acid metabolic process	65/1364	332/11422	0.19578313253012	1.63946843090838	4.35437485365307	3.29654842545418e-05	0.0478658831375946	0.0457699723492006	4339847/4339066/4333613/4334188/9268115/4346318/4326958/4348211/9266140/107275865/4344612/4325717/4348794/4336402/4326266/4344928/4330036/4352833/4330037/4351945/4336982/4352435/4329560/4344270/4333932/4332341/4337830/4337272/4348524/4334917/4334535/4330767/4332151/4350083/4334554/4324773/4340008/4341321/4352148/4337230/9267778/4329224/4332596/4331017/4349718/4333458/4342210/4342480/4329580/4339521/4347497/4324672/4344382/4351460/4349745/4346642/4328992/4334794/4334405/4325167/4341584/4334640/4330732/4336983/4345690	65	GO:0006520: amino acid metabolic process
BP	GO:0016053	organic acid biosynthetic process	60/1364	350/11422	0.171428571428571	1.43552576455802	3.04746180204935	0.00230049249592451	0.01	0.01	4333613/4330451/4334188/4346318/4326958/9266140/4336384/4332547/4344612/4327870/4348794/4336402/4349749/4351464/4340392/4344928/4330036/4352833/4330037/4334233/4336982/4346846/4332341/4337272/4334535/4325444/4332151/4350083/4334554/4324773/4332608/4352146/4337720/4341321/4337230/4336023/4329224/4332596/4340579/4332607/107275641/4352147/4333458/4352495/4339521/4334049/4339289/4351460/4349745/4346642/4329432/4328992/4334794/4341584/4326358/4334640/4341305/4330732/4336983/4345690	60	GO:0016053: organic acid biosynthetic process
BP	GO:0046394	carboxylic acid biosynthetic process	60/1364	350/11422	0.171428571428571	1.43552576455802	3.04746180204935	0.00230049249592451	0.01	0.01	4333613/4330451/4334188/4346318/4326958/9266140/4336384/4332547/4344612/4327870/4348794/4336402/4349749/4351464/4340392/4344928/4330036/4352833/4330037/4334233/4336982/4346846/4332341/4337272/4334535/4325444/4332151/4350083/4334554/4324773/4332608/4352146/4337720/4341321/4337230/4336023/4329224/4332596/4340579/4332607/107275641/4352147/4333458/4352495/4339521/4334049/4339289/4351460/4349745/4346642/4329432/4328992/4334794/4341584/4326358/4334640/4341305/4330732/4336983/4345690	60	GO:0046394: carboxylic acid biosynthetic process
BP	GO:0019637	organophosphate metabolic process	57/1364	432/11422	0.131944444444444	1.10488962202672	0.818425180585666	0.01	0.01	0.01	4344386/4340766/107275865/4348467/4336987/4350420/4335562/4328470/4351721/4345628/4348305/4347509/4340258/4332364/4342614/4341468/4347383/4347443/4345725/4330016/4334641/4345232/4326512/4342043/4337286/4339882/4346801/4334316/4345898/4334968/9267826/4331161/4349979/4331761/4325211/4333967/4342490/4340074/4331746/4327964/4337061/4332721/4347887/4348512/4345665/4341467/4337509/4350084/4332969/4339242/4325585/4332194/4331418/4347022/4324666/4325071/4338791	57	GO:0019637: organophosphate metabolic process
BP	GO:0008610	lipid biosynthetic process	55/1364	411/11422	0.1338199513382	1.12059492975434	0.916938089796219	0.01	0.01	0.01	4336711/4347190/4330451/4350295/9272383/4340766/4336384/4348467/4332547/4340392/4326266/4349120/4345628/4331540/4342614/4334233/4339707/4347443/9269876/4346846/4342680/4352846/4345725/107275899/4345232/4326966/4326965/4334535/4332054/4345898/4337720/9270556/4336023/9268279/4326177/4340579/4330168/4336709/4349718/107275641/4337061/4348512/4337509/4350084/4334049/4332969/4339242/4339289/4331117/4325602/4330511/4331418/4329432/4330012/4338791	55	GO:0008610: lipid biosynthetic process
BP	GO:0032787	monocarboxylic acid metabolic process	52/1364	304/11422	0.171052631578947	1.43237768174101	2.81378014576296	0.00454902162740297	0.01	0.01	4344858/4330451/4336384/4332547/4327870/4331150/4337406/4340392/4324263/4344928/4330036/4330037/4334233/4341069/4336982/4341070/4348176/4332253/4346846/4350078/4332728/9266365/4334535/4328435/4342043/4326503/4337720/4334968/4349774/4343441/4337006/4328997/4336023/4325211/4340579/4326788/107275641/4339846/4352495/4338007/4334049/4326136/4329892/4330183/4339289/4347022/4329432/4328992/4324666/4339856/4330732/4336983	52	GO:0032787: monocarboxylic acid metabolic process
BP	GO:0034660	ncRNA metabolic process	49/1364	339/11422	0.144542772861357	1.21038676805163	1.44808161536689	0.01	0.01	0.01	4339847/4336092/4327260/4348211/4351115/4336205/4341077/4337268/4325717/4337783/4347379/4339341/4345009/4342981/4352435/4344270/4331979/4337830/4330767/4329381/4332800/4340961/4327566/4344113/4341108/4339535/4326553/4352148/4339812/4347627/4345916/4335547/4334353/4344029/9267091/4343836/4342480/4329580/4347497/4347871/4338320/107275347/4324552/4338523/107277295/4325167/4329057/4327851/4324118	49	GO:0034660: ncRNA metabolic process
BP	GO:0007049	cell cycle	48/1364	348/11422	0.137931034482759	1.15502073010416	1.08151009016918	0.01	0.01	0.01	4325020/4334449/4329899/4324625/4339038/4337783/4337822/4331016/9267792/4336589/4340275/4346606/107275563/4328294/4349505/4328207/4329966/4350526/4342193/4334515/9271988/4323990/4342590/4343049/4332326/4352484/4346176/4348359/4333880/4331948/4348365/107276048/4332083/4348731/4346394/4334998/4339099/4325450/4333230/4337093/4324913/4334710/4349023/4336556/4338689/4324023/4340849/4338615	48	GO:0007049: cell cycle
