category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Global and overview maps	dosa01200	Carbon metabolism	65/675	226/3900	0.287610619469027	1.66175024582104	4.68859153813545	7.51823326543421e-06	0.000484926045620507	0.000427352206666787	Os07g0410100/Os06g0149900/Os01g0743500/Os06g0608700/Os06g0668200/Os08g0562100/Os01g0574600/Os03g0738400/Os07g0621800/Os08g0440800/Os02g0601300/Os03g0776000/Os03g0169100/Os11g0148500/Os08g0126300/Os04g0234600/Os03g0133900/Os10g0503500/Os06g0133800/Os09g0261300/Os12g0616900/Os07g0181000/Os02g0621700/Os06g0664200/Os01g0817700/Os06g0611900/Os01g0711400/Os05g0524400/Os01g0978100/Os08g0547100/Os07g0188800/Os04g0165700/Os03g0794500/Os03g0266200/Os08g0120600/Os10g0167300/Os03g0645100/Os05g0574400/Os03g0330200/Os06g0677400/Os06g0727200/Os09g0446800/Os03g0136900/Os01g0110700/Os03g0318500/Os04g0486600/Os01g0191700/Os01g0723400/Os05g0429000/Os02g0232400/Os08g0366000/Os05g0186300/Os07g0604000/Os11g0171300/Os01g0188400/Os04g0623800/Os03g0248600/Os06g0136600/Os01g0940100/Os04g0650800/Os04g0677500/Os05g0194900/Os02g0244700/Os06g0548000/Os10g0405600	65
Metabolism	Global and overview maps	dosa01230	Biosynthesis of amino acids	47/675	178/3900	0.264044943820225	1.52559300873908	3.28348503325896	0.00120300289111672	0.0193984216192571	0.017095304242185	Os06g0149900/Os06g0608700/Os06g0668200/Os03g0738400/Os05g0549700/Os03g0850400/Os02g0601300/Os03g0169100/Os11g0148500/Os08g0126300/Os01g0375200/Os03g0133900/Os03g0305500/Os06g0133800/Os07g0181000/Os02g0125100/Os01g0817700/Os05g0524400/Os01g0978100/Os03g0431200/Os12g0624000/Os12g0623900/Os04g0165700/Os03g0826500/Os03g0266200/Os08g0120600/Os10g0167300/Os03g0330200/Os03g0299900/Os03g0136900/Os09g0294000/Os04g0486600/Os01g0191700/Os03g0254800/Os05g0429000/Os02g0232400/Os05g0558400/Os11g0171300/Os08g0441600/Os03g0248600/Os06g0136600/Os04g0650800/Os12g0138900/Os04g0677500/Os05g0194900/Os06g0548000/Os10g0405600	47
Metabolism	Carbohydrate metabolism	dosa00010	Glycolysis / Gluconeogenesis	41/675	112/3900	0.366071428571429	2.11507936507937	5.47738729142006	5.60597301660276e-07	7.23170519141755e-05	6.37310616624313e-05	Os07g0410100/Os06g0608700/Os06g0668200/Os07g0621800/Os08g0440800/Os02g0601300/Os03g0776000/Os11g0148500/Os08g0126300/Os07g0693100/Os04g0540600/Os11g0210300/Os12g0616900/Os07g0181000/Os06g0664200/Os01g0817700/Os05g0524400/Os11g0210500/Os06g0270900/Os06g0326400/Os03g0266200/Os08g0120600/Os02g0647900/Os10g0167300/Os02g0714200/Os03g0645100/Os03g0330200/Os11g0186200/Os05g0456300/Os03g0712700/Os04g0486600/Os01g0191700/Os11g0171300/Os03g0293500/Os03g0248600/Os03g0818100/Os06g0136600/Os01g0940100/Os04g0677500/Os05g0194900/Os10g0405600	41
Metabolism	Global and overview maps	dosa01240	Biosynthesis of cofactors	41/675	190/3900	0.215789473684211	1.24678362573099	1.59540089284439	0.01	0.01	0.01	Os03g0738400/Os02g0276500/Os06g0187200/Os12g0192500/Os07g0561500/Os10g0369000/Os04g0540600/Os04g0676300/Os07g0616200/Os03g0801700/Os02g0572400/Os04g0610800/Os03g0851800/Os06g0270900/Os09g0345700/Os06g0109600/Os09g0553200/Os04g0557000/Os03g0117200/Os02g0647900/Os07g0618500/Os08g0245400/Os08g0566000/Os05g0573300/Os09g0446800/Os03g0268400/Os11g0186200/Os02g0273100/Os03g0130400/Os05g0456300/Os02g0708100/Os05g0429000/Os05g0558400/Os02g0701600/Os08g0532200/Os08g0248800/Os10g0417600/Os11g0591100/Os09g0277800/Os01g0527700/Os08g0496000	41
Metabolism	Carbohydrate metabolism	dosa00620	Pyruvate metabolism	26/675	79/3900	0.329113924050633	1.90154711673699	3.70319942306072	0.000496121391607615	0.0146616600641762	0.0129209244139619	Os07g0410100/Os01g0743500/Os08g0562100/Os07g0621800/Os11g0148500/Os10g0503500/Os04g0540600/Os11g0210300/Os12g0616900/Os07g0181000/Os11g0210500/Os06g0270900/Os02g0647900/Os03g0645100/Os05g0574400/Os01g0110700/Os08g0191700/Os11g0186200/Os05g0456300/Os01g0723400/Os08g0366000/Os05g0186300/Os01g0188400/Os12g0138900/Os04g0677500/Os02g0244700	26
Metabolism	Biosynthesis of other secondary metabolites	dosa00940	Phenylpropanoid biosynthesis	25/675	123/3900	0.203252032520325	1.1743450767841	0.898777922606175	0.01	0.01	0.01	Os06g0274800/Os04g0229100/Os03g0762400/Os07g0638400/Os08g0277200/Os06g0472900/Os07g0694300/Os06g0681600/Os07g0638300/Os02g0467600/Os08g0157500/Os09g0481400/Os05g0499300/Os02g0626400/Os02g0161800/Os08g0245200/Os06g0695400/Os09g0400000/Os05g0494000/Os08g0441500/Os05g0499400/Os06g0546500/Os01g0294700/Os03g0563600/Os05g0427400	25
Metabolism	Carbohydrate metabolism	dosa00520	Amino sugar and nucleotide sugar metabolism	23/675	108/3900	0.212962962962963	1.23045267489712	1.11102315784134	0.01	0.01	0.01	Os05g0115900/Os06g0187200/Os07g0139400/Os03g0776000/Os04g0660400/Os09g0531800/Os06g0702500/Os07g0575500/Os08g0206900/Os04g0640700/Os07g0674100/Os03g0832600/Os09g0531900/Os09g0553200/Os03g0268400/Os03g0132900/Os03g0712700/Os03g0115100/Os05g0399700/Os04g0636100/Os10g0417600/Os11g0591100/Os01g0940100	23
Metabolism	Carbohydrate metabolism	dosa00500	Starch and sucrose metabolism	23/675	125/3900	0.184	1.06311111111111	0.328069607713328	0.01	0.01	0.01	Os09g0511900/Os10g0323500/Os09g0511600/Os06g0133000/Os03g0776000/Os06g0194900/Os06g0726400/Os07g0510200/Os10g0465700/Os02g0778600/Os09g0376800/Os02g0534400/Os09g0553200/Os03g0749300/Os06g0129700/Os08g0509200/Os03g0212800/Os03g0712700/Os04g0413500/Os01g0940100/Os03g0224300/Os08g0445700/Os09g0255000	23
Metabolism	Energy metabolism	dosa00710	Carbon fixation by Calvin cycle	22/675	64/3900	0.34375	1.98611111111111	3.63864917504886	0.000681937677403546	0.0146616600641762	0.0129209244139619	Os01g0743500/Os06g0608700/Os06g0668200/Os08g0562100/Os02g0601300/Os03g0169100/Os08g0126300/Os04g0234600/Os10g0503500/Os06g0133800/Os06g0664200/Os08g0120600/Os05g0574400/Os01g0110700/Os04g0486600/Os01g0723400/Os08g0366000/Os05g0186300/Os11g0171300/Os01g0188400/Os02g0244700/Os06g0548000	22
Metabolism	Amino acid metabolism	dosa00270	Cysteine and methionine metabolism	22/675	94/3900	0.234042553191489	1.35224586288416	1.58139033572104	0.01	0.01	0.01	Os04g0669800/Os06g0149900/Os04g0578000/Os09g0453800/Os03g0850400/Os11g0216900/Os02g0773300/Os03g0133900/Os01g0978100/Os12g0624000/Os12g0623900/Os01g0290100/Os04g0165700/Os05g0475400/Os05g0574400/Os07g0408700/Os03g0171900/Os09g0294000/Os05g0558400/Os02g0302700/Os04g0650800/Os06g0548000	22
