ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
BP	GO:0044283	small molecule biosynthetic process	101/1503	474/11422	0.213080168776371	1.61929586677559	5.36065143302257	3.56220485126369e-07	4.57257568180394e-05	4.11102301495121e-05	4330034/4345710/4325777/4347691/4351464/4332519/4344382/4333458/4345328/4345056/4331322/4338768/4348450/4323866/4331075/4352833/4332563/4352839/4327936/4345994/4330711/4352498/4324282/4339204/4350456/4336415/4333410/4344179/4341321/4326739/4324941/4341322/4348794/4326735/4324773/107275880/4343906/4329234/4326958/4344612/4332547/4339677/4340392/4348268/4340706/4348072/4338868/4339066/4324853/4324261/4349897/4325444/4344594/4333719/4330036/4342026/4344164/4348467/4337230/4351847/9266140/4352832/4336624/4332341/4342980/4336983/4328435/4332108/4340547/4332596/4333823/9271676/4330040/4335756/4352146/4352147/4334169/4329349/4347717/4327819/4351460/4349745/4332607/4332608/4333257/4346642/4332296/4348656/4352747/4334535/4334425/4332151/4347311/4345962/4344928/4326680/4350816/4348636/4346318/4337286/107277102	101	GO:0044283: small molecule biosynthetic process
BP	GO:0006520	amino acid metabolic process	92/1503	332/11422	0.27710843373494	2.10587660021323	7.95989883931002	7.26577959891167e-13	1.02592807936633e-09	9.22371599609207e-10	4330034/4345710/4332519/4344382/4333458/4345328/4333345/4341516/4325932/4348464/4331322/4323866/4324899/4335708/4352833/4324672/4332563/4352839/9269289/4348211/4324282/4350456/4336415/4352065/4332018/4341321/4324941/4341322/4348794/4326735/4324773/4344270/4329234/4326958/4344612/4339677/4325653/4325717/4340706/4345071/4330908/9268115/4341252/4338868/4339066/4324853/4324261/4330036/4331779/4342026/4344164/4331017/4337230/4351847/4334405/9266140/4352832/4346391/4336624/4332341/4342980/4336983/4332108/4340547/4324172/4332596/9271676/4330040/4335756/4335973/4346920/9266147/4347717/4327819/4351460/4349745/4325198/4346642/4332296/4348656/4345200/4352747/4334535/4334425/4348524/4332151/4345962/4344928/4337930/4346318/4326034/4351776	92	GO:0006520: amino acid metabolic process
BP	GO:0016053	organic acid biosynthetic process	83/1503	350/11422	0.237142857142857	1.80215949054272	5.93306792844391	3.47144776565058e-08	7.0024060644266e-06	6.29558797800692e-06	4330034/4345710/4325777/4351464/4333458/4345328/4345056/4331322/4348450/4323866/4352833/4332563/4352839/4327936/4345994/4352498/4324282/4350456/4336415/4333410/4341321/4326739/4324941/4341322/4348794/4326735/4324773/107275880/4343906/4329234/4326958/4344612/4332547/4339677/4340392/4340706/4348072/4338868/4324853/4324261/4325444/4344594/4330036/4342026/4344164/4337230/4351847/9266140/4352832/4336624/4332341/4342980/4336983/4332108/4340547/4332596/4333823/9271676/4330040/4335756/4352146/4352147/4334169/4347717/4327819/4351460/4349745/4332607/4332608/4333257/4346642/4332296/4348656/4352747/4334535/4334425/4332151/4345962/4344928/4326680/4350816/4348636/4346318	83	GO:0016053: organic acid biosynthetic process
BP	GO:0046394	carboxylic acid biosynthetic process	83/1503	350/11422	0.237142857142857	1.80215949054272	5.93306792844391	3.47144776565058e-08	7.0024060644266e-06	6.29558797800692e-06	4330034/4345710/4325777/4351464/4333458/4345328/4345056/4331322/4348450/4323866/4352833/4332563/4352839/4327936/4345994/4352498/4324282/4350456/4336415/4333410/4341321/4326739/4324941/4341322/4348794/4326735/4324773/107275880/4343906/4329234/4326958/4344612/4332547/4339677/4340392/4340706/4348072/4338868/4324853/4324261/4325444/4344594/4330036/4342026/4344164/4337230/4351847/9266140/4352832/4336624/4332341/4342980/4336983/4332108/4340547/4332596/4333823/9271676/4330040/4335756/4352146/4352147/4334169/4347717/4327819/4351460/4349745/4332607/4332608/4333257/4346642/4332296/4348656/4352747/4334535/4334425/4332151/4345962/4344928/4326680/4350816/4348636/4346318	83	GO:0046394: carboxylic acid biosynthetic process
BP	GO:1901135	carbohydrate derivative metabolic process	81/1503	460/11422	0.176086956521739	1.33816714397292	2.88179469495105	0.0033000412801733	0.0495708328468584	0.044567186829664	4348876/4325777/4347691/4326547/4331418/4329920/4348582/4339882/4332110/4338768/4348450/4326153/4347443/4324899/4332373/4332372/4344934/4347680/4344683/4350861/4341751/4328470/4327367/4330016/4352803/4333410/4338660/4344179/4347182/4332431/4343003/4324718/4340643/4345071/4329911/4327239/4334032/4337890/4332642/4349897/4342654/4341856/4333564/4347531/107280744/4347800/4350528/4342988/4341339/9267826/9271607/4341660/4346079/4324172/4328403/4335745/4352146/4352147/4334169/4332054/4341618/107276220/4327301/4343366/4325739/4333103/4338034/4338088/4341535/4347311/4340258/4341967/4327243/4342646/4346301/4340640/4348186/4324264/4342557/4325533/4337906	81	GO:1901135: carbohydrate derivative metabolic process
BP	GO:0019637	organophosphate metabolic process	79/1503	432/11422	0.18287037037037	1.389717478623	3.21433044825125	0.00127455170148289	0.0309307133376504	0.0278085882549623	4325777/4347691/4326547/4331418/4341467/4348582/4339882/4332110/4338768/4348450/4326153/4347443/4324899/4347680/4344683/4341751/4328470/4345366/4339242/4330016/4352803/4350420/4347182/4339489/4332431/4343003/4324718/4327647/4344468/4340643/4341468/4351850/4345071/4329911/4340685/4327239/4334032/4337890/4332642/4349897/4342654/4333564/4347531/4348467/4324176/4350528/4346332/4342988/4341339/9267826/9271607/4336353/4341660/4324172/4352298/4335745/4350358/107276068/4341618/107276220/4327301/4343366/4325739/4333103/4338034/4331421/4341535/4328220/4340258/4342490/4334641/4346301/4336987/4340640/4348186/4337286/4342557/4337906/4325335	79	GO:0019637: organophosphate metabolic process
BP	GO:0032787	monocarboxylic acid metabolic process	76/1503	304/11422	0.25	1.89986693280106	6.19012417417041	1.2211357482036e-08	3.44848735292697e-06	3.10039939438641e-06	4330034/4325777/4347691/4326547/4324825/4345056/4339846/4346906/4348450/4323866/4326153/4349774/4345994/4352498/4339204/4324062/4336415/4352803/4336216/4332253/4337006/4330184/4326739/4332728/4337406/4348176/4343003/107275880/4343906/4352871/4332547/4340392/4333181/4329911/4348072/4328997/4349897/107275630/4342654/4349614/4344594/4333564/4347531/4330036/4331779/4344564/4324491/4350528/4327493/4336983/4328435/4340547/4333823/4341069/9271676/4330040/4335745/4326769/4347752/4336928/4338583/4326503/4351493/4348804/4345810/4326552/4340042/4334535/4332356/4338007/4347311/4344928/4326680/4340640/4344267/4349454	76	GO:0032787: monocarboxylic acid metabolic process
BP	GO:0033554	cellular response to stress	69/1503	435/11422	0.158620689655172	1.20543281253585	1.70048376192747	0.01	0.01	0.01	4324209/4335134/4339293/4338176/4344159/4342077/4331016/4333078/4331645/9270304/4345606/4325393/4327971/4349811/4349557/9270244/4340604/4352339/4326159/4338660/4350329/4344459/4335896/9267125/4345893/4344031/4326196/4352068/4337089/4345071/4331121/4350754/4352826/4324566/4337788/4326441/4339215/4333165/4350002/4332310/4334691/4327899/4332326/4339460/4341749/4334405/4329546/4342124/4338568/4345573/4337812/4334080/4340017/4344210/4341618/4328642/4335202/4351944/9271129/4323853/4338088/4333378/4329652/4331090/4332449/9271913/4325533/4351663/4346329	69	GO:0033554: cellular response to stress
BP	GO:0043933	protein-containing complex organization	67/1503	496/11422	0.13508064516129	1.02654100401348	0.23524759854152	0.01	0.01	0.01	4345270/4324444/4323889/4343671/4334272/4344620/4326021/4324027/4329065/4330963/9271563/4331645/4338043/9270304/4324449/4340282/4329832/4340386/4328820/4324552/4337088/4343757/9272429/4336383/4340748/4344410/4324980/4344938/4342601/9268736/4329919/4339517/4339460/4329031/9272123/4335956/4340671/4349499/4346742/4326595/4334624/4327368/4324479/4329831/4338229/4328642/4352748/4351657/4339634/4342372/4343652/4337838/4323853/4349446/4326280/4328423/4337928/4333378/4352459/4344621/4327777/4334435/4331514/4339340/9270558/9271934/4325100	67	GO:0043933: protein-containing complex organization
BP	GO:0051649	establishment of localization in cell	66/1503	477/11422	0.138364779874214	1.05149867978927	0.447244504801334	0.01	0.01	0.01	4338016/4326915/4327779/4348056/4343420/4335134/4332904/4331645/4333909/4332694/4337834/4330726/4324247/4346287/4346440/4350004/4337006/4329152/4326480/4341266/4341611/9267495/4350599/4332756/4343605/4342665/4352484/107276918/4351597/4333309/4324904/4334173/4327117/4332426/4347615/4342601/9266663/4344016/9270655/4329031/4331353/4332526/4334700/4333825/4334998/4339486/4324680/9272347/4331680/4325387/4344294/4348999/4340257/9268894/4336024/4333026/4331721/4335435/4330406/4345847/4324331/4334805/4339683/4338463/4346621/4333468	66	GO:0051649: establishment of localization in cell
