category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Global and overview maps	dosa01200	Carbon metabolism	77/728	226/3900	0.34070796460177	1.82522123893805	6.12252769781354	9.62035147259779e-09	6.1089231850996e-07	5.06334288031463e-07	Os07g0134800/Os09g0535000/Os01g0742500/Os11g0538900/Os03g0136900/Os04g0459500/Os08g0440800/Os10g0405600/Os06g0611900/Os01g0711400/Os06g0103500/Os09g0446800/Os02g0232400/Os12g0625000/Os11g0148500/Os08g0154300/Os11g0455800/Os01g0159400/Os02g0621700/Os12g0616900/Os06g0133800/Os08g0439000/Os04g0486600/Os03g0248600/Os06g0564500/Os06g0564700/Os09g0261300/Os03g0330200/Os04g0677500/Os03g0773800/Os10g0167300/Os07g0410100/Os01g0874900/Os12g0632700/Os07g0152900/Os01g0723400/Os01g0939700/Os04g0107200/Os03g0432100/Os10g0204400/Os06g0677400/Os06g0548000/Os05g0429000/Os02g0815500/Os11g0171300/Os07g0197100/Os01g0337900/Os03g0645100/Os09g0509200/Os08g0126300/Os01g0654500/Os07g0630800/Os04g0650800/Os03g0794500/Os06g0727200/Os08g0562100/Os07g0406300/Os01g0817700/Os04g0508200/Os06g0486800/Os01g0191700/Os01g0978100/Os01g0188400/Os03g0129300/Os03g0412800/Os12g0145700/Os05g0194900/Os01g0743500/Os06g0136600/Os03g0266200/Os05g0186300/Os10g0390500/Os06g0617800/Os09g0465600/Os08g0502700/Os06g0246500/Os10g0571200	77
Metabolism	Global and overview maps	dosa01230	Biosynthesis of amino acids	71/728	178/3900	0.398876404494382	2.1368378812199	7.43697071284844	1.11855642262116e-11	1.42056665672887e-09	1.17742781328543e-09	Os09g0535000/Os11g0538900/Os03g0617900/Os08g0342400/Os03g0136900/Os10g0405600/Os03g0106400/Os12g0624000/Os02g0232400/Os03g0299900/Os12g0625000/Os11g0148500/Os08g0154300/Os01g0232700/Os11g0455800/Os06g0133800/Os08g0439000/Os04g0486600/Os03g0248600/Os06g0564500/Os01g0871300/Os06g0564700/Os03g0330200/Os04g0677500/Os10g0167300/Os01g0874900/Os02g0440000/Os01g0927900/Os08g0135900/Os05g0573700/Os06g0265000/Os06g0548000/Os05g0429000/Os01g0848200/Os01g0276500/Os11g0171300/Os01g0375200/Os06g0709000/Os08g0126300/Os01g0654500/Os02g0797500/Os04g0650800/Os12g0235800/Os12g0623900/Os01g0817700/Os03g0264400/Os07g0300900/Os04g0508200/Os03g0223400/Os06g0225800/Os03g0305500/Os04g0406600/Os09g0539100/Os01g0191700/Os01g0978100/Os12g0138900/Os09g0294000/Os12g0145700/Os03g0256400/Os05g0194900/Os06g0136600/Os03g0797000/Os03g0266200/Os10g0390500/Os06g0617800/Os03g0231600/Os08g0559600/Os03g0431200/Os01g0293000/Os05g0135700/Os10g0571200	71
Metabolism	Global and overview maps	dosa01240	Biosynthesis of cofactors	45/728	190/3900	0.236842105263158	1.2687969924812	1.81965882806638	0.0451848532252328	0.01	0.01	Os08g0245400/Os06g0109600/Os10g0369000/Os03g0106400/Os03g0268400/Os09g0446800/Os01g0687800/Os10g0502400/Os11g0600900/Os11g0455800/Os11g0186200/Os05g0474600/Os01g0874900/Os07g0616200/Os06g0196600/Os12g0236400/Os08g0248800/Os03g0313600/Os05g0429000/Os04g0662700/Os04g0540600/Os01g0337900/Os03g0679700/Os06g0270900/Os02g0196900/Os09g0553200/Os01g0654100/Os12g0507000/Os12g0443500/Os12g0443600/Os03g0757900/Os02g0473000/Os01g0951200/Os03g0563100/Os03g0231600/Os02g0134400/Os07g0167100/Os03g0321800/Os11g0591100/Os10g0417600/Os03g0117200/Os01g0293000/Os05g0135700/Os02g0592200/Os07g0179400	45
Metabolism	Carbohydrate metabolism	dosa00010	Glycolysis / Gluconeogenesis	42/728	112/3900	0.375	2.00892857142857	5.18967504323475	1.59960445465513e-06	6.77165885804006e-05	5.61264720931626e-05	Os09g0535000/Os03g0293500/Os01g0742500/Os07g0693100/Os08g0440800/Os10g0405600/Os11g0148500/Os12g0616900/Os08g0439000/Os04g0486600/Os03g0248600/Os11g0186200/Os05g0474600/Os03g0330200/Os04g0677500/Os10g0167300/Os07g0410100/Os08g0345700/Os11g0210600/Os03g0432100/Os10g0204400/Os05g0469600/Os02g0815500/Os11g0171300/Os07g0197100/Os03g0712700/Os04g0540600/Os01g0337900/Os03g0645100/Os09g0509200/Os08g0126300/Os06g0270900/Os11g0210300/Os01g0817700/Os01g0191700/Os12g0145700/Os05g0194900/Os06g0136600/Os03g0266200/Os09g0465600/Os06g0246500/Os10g0571200	42
Metabolism	Amino acid metabolism	dosa00270	Cysteine and methionine metabolism	33/728	94/3900	0.351063829787234	1.8806990881459	4.14030942703392	9.9302685568443e-05	0.00315286026679806	0.00261322856759061	Os09g0453800/Os11g0455500/Os02g0773300/Os08g0342400/Os03g0106400/Os01g0178000/Os12g0624000/Os12g0625000/Os06g0564500/Os06g0564700/Os03g0773800/Os12g0632700/Os01g0927900/Os06g0548000/Os03g0171900/Os02g0797500/Os03g0338000/Os07g0630800/Os04g0650800/Os12g0623900/Os07g0408700/Os07g0300900/Os01g0978100/Os03g0376100/Os03g0307200/Os03g0307300/Os09g0294000/Os10g0422200/Os12g0607000/Os03g0231600/Os01g0290600/Os01g0293000/Os05g0135700	33
Metabolism	Carbohydrate metabolism	dosa00620	Pyruvate metabolism	28/728	79/3900	0.354430379746835	1.89873417721519	3.86573431252154	0.000276100389552758	0.00580819073901204	0.00481408266805805	Os11g0148500/Os12g0616900/Os11g0186200/Os05g0474600/Os04g0677500/Os03g0773800/Os07g0410100/Os12g0632700/Os11g0210600/Os01g0723400/Os03g0432100/Os10g0204400/Os02g0815500/Os04g0540600/Os01g0337900/Os03g0645100/Os09g0509200/Os06g0270900/Os11g0210300/Os07g0630800/Os08g0562100/Os01g0188400/Os12g0138900/Os12g0145700/Os01g0743500/Os05g0186300/Os06g0246500/Os10g0571200	28
Metabolism	Carbohydrate metabolism	dosa00520	Amino sugar and nucleotide sugar metabolism	27/728	108/3900	0.25	1.33928571428571	1.71284871139703	0.01	0.01	0.01	Os01g0742500/Os03g0832600/Os02g0605900/Os03g0268400/Os08g0206900/Os11g0600900/Os01g0837300/Os09g0526700/Os05g0387200/Os05g0595100/Os07g0197100/Os03g0712700/Os09g0323000/Os04g0660400/Os09g0553200/Os12g0443500/Os12g0443600/Os03g0757900/Os04g0608100/Os01g0894300/Os06g0702500/Os09g0465600/Os06g0701200/Os07g0195400/Os11g0591100/Os10g0417600/Os03g0413400	27
Metabolism	Global and overview maps	dosa01210	2-Oxocarboxylic acid metabolism	26/728	70/3900	0.371428571428571	1.98979591836735	4.0028656094248	0.000191482361047771	0.00486365197061337	0.0040312076010057	Os11g0538900/Os03g0617900/Os03g0136900/Os03g0106400/Os02g0232400/Os12g0616900/Os07g0410100/Os01g0927900/Os05g0573700/Os06g0548000/Os01g0337900/Os03g0645100/Os09g0509200/Os03g0171900/Os01g0654500/Os02g0797500/Os03g0338000/Os07g0300900/Os04g0508200/Os12g0138900/Os10g0390500/Os03g0231600/Os08g0502700/Os08g0559600/Os03g0431200/Os06g0246500	26
Metabolism	Global and overview maps	dosa01250	Biosynthesis of nucleotide sugars	26/728	77/3900	0.337662337662338	1.80890538033395	3.4341293998699	0.0010525932570773	0.0133679343648817	0.0110799290218663	Os01g0742500/Os03g0832600/Os03g0268400/Os08g0206900/Os11g0600900/Os01g0837300/Os09g0526700/Os05g0387200/Os05g0595100/Os07g0197100/Os03g0712700/Os09g0323000/Os04g0660400/Os09g0553200/Os12g0443500/Os12g0443600/Os03g0757900/Os04g0608100/Os01g0894300/Os06g0702500/Os05g0561500/Os09g0465600/Os06g0701200/Os07g0195400/Os11g0591100/Os10g0417600	26
Metabolism	Carbohydrate metabolism	dosa00500	Starch and sucrose metabolism	26/728	125/3900	0.208	1.11428571428571	0.622105718440091	0.01	0.01	0.01	Os02g0534400/Os01g0742500/Os03g0340500/Os06g0194900/Os08g0473900/Os07g0624600/Os07g0197100/Os06g0133000/Os03g0712700/Os07g0656200/Os09g0553200/Os03g0141200/Os06g0676700/Os08g0414700/Os01g0851700/Os03g0703000/Os08g0509400/Os04g0474500/Os03g0736300/Os06g0726400/Os01g0894300/Os03g0703100/Os07g0662900/Os03g0224300/Os09g0465600/Os06g0713800	26
Genetic Information Processing	Folding, sorting and degradation	dosa03018	RNA degradation	24/728	86/3900	0.27906976744186	1.49501661129568	2.22358825799601	0.0222745269149912	0.01	0.01	Os10g0405600/Os03g0166800/Os04g0504800/Os02g0102900/Os08g0439000/Os03g0248600/Os03g0278500/Os10g0503700/Os10g0167300/Os10g0412100/Os10g0462900/Os02g0774300/Os12g0277500/Os05g0540300/Os03g0143400/Os01g0191700/Os10g0548200/Os03g0113700/Os01g0209500/Os05g0194900/Os06g0136600/Os03g0266200/Os04g0613400/Os07g0565200	24
Metabolism	Amino acid metabolism	dosa00260	Glycine, serine and threonine metabolism	21/728	54/3900	0.388888888888889	2.08333333333333	3.83998974143046	0.0003804635846565	0.00580819073901204	0.00481408266805805	Os08g0342400/Os06g0611900/Os01g0711400/Os08g0424500/Os11g0455800/Os03g0330200/Os01g0874900/Os01g0927900/Os08g0135900/Os04g0107200/Os05g0429000/Os01g0337900/Os03g0171900/Os03g0338000/Os04g0650800/Os01g0817700/Os04g0555900/Os07g0300900/Os09g0294000/Os03g0797000/Os08g0502700	21
Metabolism	Energy metabolism	dosa00710	Carbon fixation by Calvin cycle	20/728	64/3900	0.3125	1.67410714285714	2.60468575343585	0.0101684062773737	0.01	0.01	Os09g0535000/Os04g0459500/Os08g0154300/Os06g0133800/Os04g0486600/Os03g0773800/Os12g0632700/Os01g0723400/Os03g0432100/Os10g0204400/Os06g0548000/Os11g0171300/Os08g0126300/Os07g0630800/Os08g0562100/Os01g0188400/Os03g0129300/Os01g0743500/Os05g0186300/Os10g0390500	20
Metabolism	Carbohydrate metabolism	dosa00630	Glyoxylate and dicarboxylate metabolism	20/728	66/3900	0.303030303030303	1.62337662337662	2.44665167236141	0.0145251713171413	0.01	0.01	Os11g0538900/Os03g0136900/Os06g0611900/Os01g0711400/Os02g0232400/Os11g0455800/Os09g0261300/Os03g0773800/Os01g0874900/Os12g0632700/Os07g0152900/Os04g0107200/Os05g0429000/Os01g0337900/Os07g0658400/Os07g0630800/Os06g0727200/Os03g0223400/Os06g0486800/Os08g0502700	20
