Sn	Sp	Acc	MCC	<<Cutoff
0	1	0.940995	-nan	1000
0.25426	0.97929	0.936509	0.301571	0.211689
0.25426	0.979208	0.936432	0.301139	0.211688
0.25426	0.979126	0.936354	0.300709	0.211688
0.25426	0.979043	0.936277	0.30028	0.211688
0.25426	0.978961	0.9362	0.299853	0.211688
0.25426	0.978879	0.936122	0.299427	0.211688
0.25426	0.978797	0.936045	0.299002	0.211688
0.25426	0.978715	0.935968	0.298578	0.211688
0.25426	0.978632	0.93589	0.298156	0.211688
0.25557	0.978632	0.935968	0.299516	0.211687
0.25557	0.97855	0.93589	0.299095	0.211686
0.256881	0.97855	0.935968	0.300452	0.211685
0.256881	0.978468	0.93589	0.300031	0.211684
0.256881	0.978386	0.935813	0.299611	0.211684
0.258191	0.978386	0.93589	0.300965	0.211683
0.259502	0.978386	0.935968	0.302316	0.211681
0.259502	0.978304	0.93589	0.301896	0.21168
0.259502	0.978222	0.935813	0.301478	0.21168
0.259502	0.978139	0.935736	0.301061	0.211679
0.260813	0.978139	0.935813	0.302407	0.211679
0.260813	0.978057	0.935736	0.301991	0.211678
0.260813	0.977975	0.935658	0.301576	0.211678
0.262123	0.977975	0.935736	0.302919	0.211677
0.263434	0.977975	0.935813	0.30426	0.211677
0.263434	0.977893	0.935736	0.303845	0.211677
0.263434	0.977811	0.935658	0.303431	0.211674
0.263434	0.977728	0.935581	0.303018	0.211674
0.264744	0.977646	0.935581	0.303943	0.211673
0.264744	0.977564	0.935504	0.303532	0.211672
0.266055	0.977564	0.935581	0.304865	0.211672
0.267366	0.977564	0.935658	0.306196	0.211671
0.267366	0.977482	0.935581	0.305785	0.211671
0.268676	0.977482	0.935658	0.307113	0.211669
0.268676	0.9774	0.935581	0.306703	0.211668
0.268676	0.977318	0.935504	0.306294	0.211668
0.268676	0.977235	0.935426	0.305886	0.211667
0.268676	0.977153	0.935349	0.30548	0.211665
0.268676	0.977071	0.935272	0.305074	0.211664
0.268676	0.976989	0.935194	0.30467	0.211663
0.268676	0.976907	0.935117	0.304267	0.211663
0.268676	0.976824	0.93504	0.303865	0.211661
0.268676	0.976742	0.934962	0.303464	0.21166
0.268676	0.97666	0.934885	0.303064	0.211659
0.269987	0.97666	0.934962	0.304384	0.211659
0.269987	0.976578	0.934885	0.303985	0.211657
0.269987	0.976496	0.934808	0.303587	0.211657
0.271298	0.976496	0.934885	0.304904	0.211657
0.271298	0.976414	0.934808	0.304506	0.211656
0.271298	0.976331	0.93473	0.30411	0.211654
0.272608	0.976331	0.934808	0.305423	0.211654
0.272608	0.976249	0.93473	0.305027	0.211653
0.273919	0.976249	0.934808	0.306338	0.211653
0.273919	0.976167	0.93473	0.305943	0.211653
0.273919	0.976085	0.934653	0.305548	0.211653
0.275229	0.976085	0.93473	0.306856	0.211651
0.27654	0.976085	0.934808	0.308161	0.211651
0.277851	0.976085	0.934885	0.309464	0.211651
0.277851	0.976003	0.934808	0.309069	0.211649
0.277851	0.97592	0.93473	0.308676	0.211648
0.279161	0.97592	0.934808	0.309976	0.211648
0.279161	0.975838	0.93473	0.309583	0.211648
0.280472	0.975838	0.934808	0.31088	0.211647
0.281782	0.975838	0.934885	0.312175	0.211646
0.281782	0.975756	0.934808	0.311782	0.211646
0.283093	0.975756	0.934885	0.313074	0.211645
0.283093	0.975674	0.934808	0.312682	0.211644
0.283093	0.975592	0.93473	0.31229	0.211644
0.283093	0.97551	0.934653	0.3119	0.211643
0.283093	0.975427	0.934576	0.31151	0.211642
0.283093	0.975345	0.934498	0.311122	0.211642
0.283093	0.975263	0.934421	0.310734	0.211642
0.283093	0.975181	0.934344	0.310348	0.211641
0.283093	0.975099	0.934266	0.309963	0.211638
0.284404	0.975099	0.934344	0.311249	0.211638
0.284404	0.975016	0.934266	0.310864	0.211637
0.285714	0.975016	0.934344	0.312148	0.211635
0.285714	0.974934	0.934266	0.311764	0.211635
0.287025	0.974934	0.934344	0.313045	0.211635
0.287025	0.974852	0.934266	0.312661	0.211634
0.287025	0.97477	0.934189	0.312278	0.211634
0.287025	0.974688	0.934112	0.311896	0.211633
0.287025	0.974606	0.934034	0.311516	0.211633
0.287025	0.974523	0.933957	0.311136	0.211632
0.288336	0.974523	0.934034	0.312412	0.211631
0.288336	0.974441	0.933957	0.312033	0.211629
0.288336	0.974359	0.93388	0.311655	0.211627
0.288336	0.974277	0.933802	0.311277	0.211627
0.288336	0.974195	0.933725	0.310901	0.211626
0.288336	0.974112	0.933648	0.310526	0.211626
0.288336	0.97403	0.93357	0.310151	0.211624
0.288336	0.973948	0.933493	0.309778	0.211623
0.288336	0.973866	0.933416	0.309405	0.211623
0.288336	0.973784	0.933338	0.309034	0.211623
0.288336	0.973702	0.933261	0.308663	0.211621
0.288336	0.973619	0.933184	0.308293	0.211621
0.288336	0.973537	0.933106	0.307925	0.21162
0.288336	0.973455	0.933029	0.307557	0.21162
0.288336	0.973373	0.932952	0.30719	0.211618
0.289646	0.973373	0.933029	0.308457	0.211616
0.290957	0.973373	0.933106	0.309723	0.211616
0.290957	0.973291	0.933029	0.309356	0.211613
0.292267	0.973291	0.933106	0.310619	0.211613
0.292267	0.973208	0.933029	0.310252	0.211611
0.293578	0.973208	0.933106	0.311513	0.211609
0.293578	0.973126	0.933029	0.311147	0.211608
0.294889	0.973126	0.933106	0.312405	0.211604
0.296199	0.973126	0.933184	0.313662	0.2116
0.29751	0.973126	0.933261	0.314916	0.211599
0.29751	0.973044	0.933184	0.314549	0.211598
0.29882	0.973044	0.933261	0.315802	0.211596
0.29882	0.972962	0.933184	0.315435	0.211593
0.29882	0.97288	0.933106	0.31507	0.211589
0.300131	0.972798	0.933106	0.315954	0.211587
0.300131	0.972715	0.933029	0.31559	0.211587
0.301442	0.972715	0.933106	0.316837	0.211587
0.302752	0.972715	0.933184	0.318082	0.211583
0.302752	0.972633	0.933106	0.317717	0.211583
0.302752	0.972551	0.933029	0.317354	0.211582
0.302752	0.972469	0.932952	0.316992	0.211581
0.304063	0.972469	0.933029	0.318233	0.211575
0.304063	0.972387	0.932952	0.317871	0.211571
0.305374	0.972387	0.933029	0.319111	0.211571
0.306684	0.972387	0.933106	0.320348	0.21157
0.306684	0.972304	0.933029	0.319986	0.211565
0.306684	0.972222	0.932952	0.319625	0.211559
0.306684	0.97214	0.932874	0.319265	0.211559
0.306684	0.972058	0.932797	0.318905	0.211557
0.306684	0.971976	0.93272	0.318547	0.211556
0.307995	0.971976	0.932797	0.31978	0.211555
0.307995	0.971893	0.93272	0.319422	0.211552
0.307995	0.971811	0.932642	0.319065	0.21155
0.307995	0.971729	0.932565	0.318708	0.211549
0.309305	0.971729	0.932642	0.319938	0.211549
0.309305	0.971647	0.932565	0.319582	0.211548
0.309305	0.971565	0.932488	0.319227	0.211548
0.309305	0.971483	0.93241	0.318873	0.211542
0.310616	0.971483	0.932488	0.3201	0.211542
0.311927	0.971483	0.932565	0.321325	0.211539
0.313237	0.971483	0.932642	0.322549	0.211538
0.313237	0.9714	0.932565	0.322194	0.211537
0.313237	0.971318	0.932488	0.32184	0.211536
0.313237	0.971236	0.93241	0.321487	0.211535
0.313237	0.971154	0.932333	0.321134	0.211531
0.313237	0.971072	0.932256	0.320783	0.211531
0.314548	0.971072	0.932333	0.322002	0.21153
0.314548	0.970989	0.932256	0.321651	0.211529
0.315858	0.970989	0.932333	0.322868	0.211528
0.315858	0.970907	0.932256	0.322518	0.211527
0.317169	0.970907	0.932333	0.323733	0.211526
0.317169	0.970825	0.932256	0.323382	0.211525
0.31848	0.970825	0.932333	0.324596	0.21152
0.31848	0.970743	0.932256	0.324245	0.21152
