Sn	Sp	Acc	MCC	<<Cutoff
0	1	0.930656	-nan	1000
0.356436	0.947252	0.906282	0.295072	0.23569
0.356436	0.946883	0.905939	0.294085	0.235689
0.356436	0.946514	0.905596	0.293104	0.235683
0.356436	0.946145	0.905252	0.292129	0.235682
0.356436	0.945776	0.904909	0.29116	0.235671
0.356436	0.945408	0.904566	0.290197	0.235667
0.356436	0.945039	0.904222	0.289239	0.235643
0.361386	0.945039	0.904566	0.29338	0.235643
0.361386	0.94467	0.904222	0.292424	0.235635
0.361386	0.944301	0.903879	0.291473	0.235632
0.366337	0.944301	0.904222	0.295589	0.235624
0.366337	0.943932	0.903879	0.294639	0.235617
0.371287	0.943932	0.904222	0.298736	0.235614
0.371287	0.943563	0.903879	0.297787	0.23561
0.376238	0.943563	0.904222	0.301864	0.235605
0.381188	0.943563	0.904566	0.305927	0.235585
0.386139	0.943563	0.904909	0.309975	0.235584
0.386139	0.943194	0.904566	0.309018	0.235575
0.391089	0.943194	0.904909	0.313047	0.235556
0.391089	0.942826	0.904566	0.312091	0.235539
0.391089	0.942457	0.904222	0.311141	0.235531
0.39604	0.942457	0.904566	0.315148	0.235517
0.40099	0.942457	0.904909	0.319141	0.235504
0.405941	0.942457	0.905252	0.323121	0.235491
0.405941	0.942088	0.904909	0.322163	0.23548
0.410891	0.942088	0.905252	0.326125	0.235466
0.410891	0.941719	0.904909	0.325168	0.235432
0.410891	0.94135	0.904566	0.324217	0.23543
0.410891	0.940981	0.904222	0.323271	0.235387
0.410891	0.940612	0.903879	0.32233	0.235383
0.410891	0.940243	0.903536	0.321394	0.235372
0.410891	0.939875	0.903193	0.320463	0.235368
0.415842	0.939875	0.903536	0.324389	0.235362
0.415842	0.939506	0.903193	0.323459	0.235336
0.420792	0.939506	0.903536	0.327367	0.235315
0.425743	0.939506	0.903879	0.331263	0.235305
0.425743	0.939137	0.903536	0.330331	0.23522
0.425743	0.938768	0.903193	0.329403	0.235137
0.430693	0.938768	0.903536	0.333279	0.235119
0.435644	0.938768	0.903879	0.337143	0.235108
0.435644	0.938399	0.903536	0.336213	0.23507
0.435644	0.93803	0.903193	0.335287	0.235002
0.435644	0.937661	0.902849	0.334367	0.23496
0.440594	0.937661	0.903193	0.338208	0.234959
0.440594	0.937293	0.902849	0.337289	0.234893
0.440594	0.936924	0.902506	0.336374	0.23481
0.445545	0.936924	0.902849	0.340196	0.234751
0.445545	0.936555	0.902506	0.339282	0.234749
0.445545	0.936186	0.902163	0.338374	0.234747
0.445545	0.935817	0.901819	0.337469	0.234709
0.445545	0.935448	0.901476	0.33657	0.234646
0.445545	0.935079	0.901133	0.335675	0.234644
0.445545	0.93471	0.90079	0.334784	0.234601
0.445545	0.934342	0.900446	0.333898	0.234565
0.445545	0.933973	0.900103	0.333016	0.234542
0.450495	0.933973	0.900446	0.336798	0.234515
0.455446	0.933973	0.90079	0.340569	0.23451
0.455446	0.933604	0.900446	0.339685	0.23448
0.455446	0.933235	0.900103	0.338805	0.234425
0.455446	0.932866	0.89976	0.337929	0.234352
0.455446	0.932497	0.899416	0.337058	0.234294
0.455446	0.932128	0.899073	0.33619	0.234279
0.455446	0.931759	0.89873	0.335327	0.234224
0.455446	0.931391	0.898387	0.334468	0.234203
0.455446	0.931022	0.898043	0.333613	0.234197
0.455446	0.930653	0.8977	0.332762	0.234194
0.455446	0.930284	0.897357	0.331915	0.234164
0.455446	0.929915	0.897013	0.331072	0.234074
0.460396	0.929915	0.897357	0.334796	0.234073
0.460396	0.929546	0.897013	0.333954	0.234059
0.460396	0.929177	0.89667	0.333115	0.234006
0.460396	0.928809	0.896327	0.332281	0.233988
0.460396	0.92844	0.895984	0.33145	0.233865
0.460396	0.928071	0.89564	0.330623	0.233796
0.460396	0.927702	0.895297	0.3298	0.233664
0.460396	0.927333	0.894954	0.328981	0.233646
0.465347	0.927333	0.895297	0.332672	0.233394
0.465347	0.926964	0.894954	0.331853	0.233327
0.470297	0.926964	0.895297	0.335531	0.233289
0.470297	0.926595	0.894954	0.334712	0.233287
0.470297	0.926226	0.89461	0.333898	0.233214
0.470297	0.925858	0.894267	0.333087	0.233125
0.475248	0.925858	0.89461	0.336745	0.233102
0.475248	0.925489	0.894267	0.335935	0.23307
0.475248	0.92512	0.893924	0.335128	0.232971
0.480198	0.92512	0.894267	0.338771	0.232798
0.485149	0.92512	0.89461	0.342404	0.23278
0.485149	0.924751	0.894267	0.341595	0.232705
0.485149	0.924382	0.893924	0.340789	0.232562
0.485149	0.924013	0.893581	0.339987	0.232555
0.490099	0.924013	0.893924	0.343601	0.232522
0.490099	0.923644	0.893581	0.3428	0.232518
0.490099	0.923276	0.893237	0.342001	0.232444
0.490099	0.922907	0.892894	0.341206	0.232368
0.490099	0.922538	0.892551	0.340415	0.232127
0.490099	0.922169	0.892207	0.339627	0.23195
0.49505	0.922169	0.892551	0.343218	0.231916
0.49505	0.9218	0.892207	0.34243	0.231912
0.49505	0.921431	0.891864	0.341646	0.231856
0.49505	0.921062	0.891521	0.340865	0.23179
0.49505	0.920693	0.891177	0.340087	0.231669
0.49505	0.920325	0.890834	0.339313	0.231663
0.49505	0.919956	0.890491	0.338542	0.231569
0.5	0.919956	0.890834	0.342107	0.231535
0.5	0.919587	0.890491	0.341336	0.2315
0.5	0.919218	0.890148	0.340568	0.231397
0.5	0.918849	0.889804	0.339804	0.231312
0.5	0.91848	0.889461	0.339042	0.231167
0.5	0.918111	0.889118	0.338284	0.227902
0.5	0.917743	0.888774	0.337529	0.22752
