Sn	Sp	Acc	MCC	<<Cutoff
0	1	0.835132	-nan	1000
0.153923	0.976125	0.84057	0.232003	0.377138
0.154423	0.976125	0.840653	0.232693	0.377137
0.154923	0.976125	0.840735	0.233382	0.377137
0.155422	0.976125	0.840817	0.23407	0.377137
0.155422	0.976026	0.840735	0.233693	0.377137
0.155922	0.976026	0.840817	0.234381	0.377137
0.156422	0.975927	0.840817	0.234691	0.377136
0.156922	0.975927	0.8409	0.235376	0.377136
0.156922	0.975829	0.840817	0.235001	0.377135
0.156922	0.97573	0.840735	0.234627	0.377135
0.157421	0.97573	0.840817	0.235311	0.377134
0.158421	0.97573	0.840982	0.236676	0.377134
0.158921	0.97573	0.841065	0.237357	0.377133
0.15942	0.97573	0.841147	0.238038	0.377132
0.15942	0.975631	0.841065	0.237664	0.377132
0.15942	0.975533	0.840982	0.237291	0.377132
0.15942	0.975434	0.8409	0.236919	0.377132
0.15942	0.975335	0.840817	0.236548	0.377132
0.15942	0.975237	0.840735	0.236177	0.377131
0.15992	0.975237	0.840817	0.236856	0.377131
0.16042	0.975237	0.8409	0.237535	0.37713
0.16092	0.975237	0.840982	0.238212	0.37713
0.161419	0.975237	0.841065	0.238888	0.37713
0.161419	0.975138	0.840982	0.238518	0.377129
0.161419	0.975039	0.8409	0.238149	0.377129
0.161419	0.974941	0.840817	0.237781	0.377128
0.161919	0.974941	0.8409	0.238456	0.377128
0.162919	0.974941	0.841065	0.239804	0.377128
0.163418	0.974941	0.841147	0.240477	0.377128
0.163418	0.974842	0.841065	0.240109	0.377127
0.163418	0.974743	0.840982	0.239742	0.377127
0.163918	0.974743	0.841065	0.240414	0.377126
0.164418	0.974743	0.841147	0.241084	0.377126
0.164418	0.974645	0.841065	0.240718	0.377125
0.164418	0.974546	0.840982	0.240353	0.377125
0.164418	0.974448	0.8409	0.239988	0.377125
0.164418	0.974349	0.840817	0.239624	0.377125
0.164418	0.97425	0.840735	0.239261	0.377125
0.164418	0.974152	0.840653	0.238899	0.377124
0.164418	0.974053	0.84057	0.238538	0.377124
0.164918	0.974053	0.840653	0.239207	0.377123
0.164918	0.973954	0.84057	0.238846	0.377123
0.164918	0.973856	0.840488	0.238486	0.377123
0.165417	0.973856	0.84057	0.239154	0.377122
0.165417	0.973757	0.840488	0.238795	0.377122
0.165417	0.973658	0.840405	0.238437	0.377122
0.165417	0.97356	0.840323	0.238079	0.377121
0.165417	0.973461	0.840241	0.237722	0.377121
0.165917	0.973461	0.840323	0.238389	0.377121
0.165917	0.973362	0.840241	0.238033	0.377119
0.165917	0.973264	0.840158	0.237677	0.377119
0.165917	0.973165	0.840076	0.237322	0.377119
0.165917	0.973066	0.839993	0.236968	0.377117
0.165917	0.972968	0.839911	0.236615	0.377117
0.166417	0.972968	0.839993	0.237281	0.377116
0.166417	0.972869	0.839911	0.236928	0.377114
0.166917	0.972869	0.839993	0.237593	0.377113
0.167416	0.972869	0.840076	0.238257	0.377112
0.167416	0.97277	0.839993	0.237905	0.377111
0.167916	0.97277	0.840076	0.238568	0.377111
0.167916	0.972672	0.839993	0.238217	0.377111
0.167916	0.972573	0.839911	0.237866	0.377111
0.167916	0.972474	0.839829	0.237516	0.377111
0.168416	0.972474	0.839911	0.238178	0.377111
0.168916	0.972474	0.839993	0.23884	0.37711
0.168916	0.972376	0.839911	0.23849	0.377109
0.169415	0.972376	0.839993	0.239151	0.377108
0.169415	0.972277	0.839911	0.238802	0.377108
0.169915	0.972277	0.839993	0.239461	0.377108
0.169915	0.972178	0.839911	0.239113	0.377107
0.170415	0.972178	0.839993	0.239772	0.377107
0.170915	0.972178	0.840076	0.24043	0.377107
0.171414	0.972178	0.840158	0.241087	0.377105
0.171414	0.97208	0.840076	0.240739	0.377105
0.171914	0.97208	0.840158	0.241395	0.377104
0.171914	0.971981	0.840076	0.241048	0.377103
0.171914	0.971882	0.839993	0.240702	0.377103
0.171914	0.971784	0.839911	0.240356	0.377101
0.172414	0.971784	0.839993	0.241012	0.3771
0.172414	0.971685	0.839911	0.240666	0.3771
0.172914	0.971685	0.839993	0.241321	0.3771
0.173413	0.971685	0.840076	0.241974	0.377099
0.173913	0.971685	0.840158	0.242627	0.377099
0.173913	0.971586	0.840076	0.242282	0.377097
0.173913	0.971488	0.839993	0.241939	0.377097
0.174413	0.971488	0.840076	0.24259	0.377096
0.174413	0.971389	0.839993	0.242247	0.377096
0.174413	0.97129	0.839911	0.241904	0.377094
0.174413	0.971192	0.839829	0.241562	0.377093
0.174413	0.971093	0.839746	0.241221	0.377093
0.174913	0.971093	0.839829	0.241872	0.377092
0.175412	0.971093	0.839911	0.242522	0.37709
0.175912	0.971093	0.839993	0.243171	0.37709
0.175912	0.970994	0.839911	0.24283	0.377089
0.175912	0.970896	0.839829	0.24249	0.377089
0.176412	0.970896	0.839911	0.243138	0.377089
0.176412	0.970797	0.839829	0.242799	0.377088
0.176412	0.970699	0.839746	0.24246	0.377088
0.176412	0.9706	0.839664	0.242122	0.377087
0.176912	0.9706	0.839746	0.242769	0.377086
0.176912	0.970501	0.839664	0.242431	0.377085
0.177411	0.970501	0.839746	0.243078	0.377085
0.177411	0.970403	0.839664	0.242741	0.377085
0.177411	0.970304	0.839581	0.242404	0.377085
0.177911	0.970304	0.839664	0.24305	0.377084
0.177911	0.970205	0.839581	0.242714	0.377084
0.178411	0.970205	0.839664	0.243359	0.377083
0.178411	0.970107	0.839581	0.243023	0.377083
0.178911	0.970107	0.839664	0.243667	0.377082
0.178911	0.970008	0.839581	0.243332	0.377081
0.178911	0.969909	0.839499	0.242998	0.37708
0.178911	0.969811	0.839417	0.242665	0.377078
0.17941	0.969712	0.839417	0.242975	0.377077
0.17991	0.969712	0.839499	0.243617	0.377076
0.17991	0.969613	0.839417	0.243285	0.377076
0.18041	0.969613	0.839499	0.243926	0.377075
0.18041	0.969515	0.839417	0.243594	0.377075
0.18041	0.969416	0.839334	0.243263	0.377075
0.18041	0.969317	0.839252	0.242932	0.377074
0.18041	0.969219	0.839169	0.242603	0.377074
0.18091	0.969219	0.839252	0.243243	0.377073
0.18091	0.96912	0.839169	0.242913	0.377073
0.181409	0.96912	0.839252	0.243553	0.377072
0.181909	0.96912	0.839334	0.244192	0.377072
0.181909	0.969021	0.839252	0.243863	0.377071
