Sn	Sp	Acc	MCC	<<Cutoff
0	1	0.916667	-nan	1000
0.148515	0.983798	0.914191	0.224702	0.233169
0.148515	0.982898	0.913366	0.21996	0.233155
0.158416	0.982898	0.914191	0.233228	0.233154
0.168317	0.982898	0.915017	0.246183	0.233154
0.168317	0.981998	0.914191	0.241491	0.233147
0.178218	0.981998	0.915017	0.254096	0.233144
0.178218	0.981098	0.914191	0.249514	0.233125
0.178218	0.980198	0.913366	0.245088	0.233117
0.178218	0.979298	0.912541	0.240808	0.233103
0.178218	0.978398	0.911716	0.236666	0.233081
0.178218	0.977498	0.910891	0.232653	0.233045
0.178218	0.976598	0.910066	0.228762	0.233025
0.188119	0.976598	0.910891	0.240776	0.233013
0.188119	0.975698	0.910066	0.236945	0.233008
0.188119	0.974797	0.909241	0.233222	0.233003
0.19802	0.974797	0.910066	0.244911	0.232943
0.19802	0.973897	0.909241	0.24124	0.232825
0.19802	0.972997	0.908416	0.237667	0.232783
0.19802	0.972097	0.907591	0.234188	0.232774
0.19802	0.971197	0.906766	0.230797	0.232761
0.207921	0.971197	0.907591	0.24209	0.232673
0.207921	0.970297	0.906766	0.238736	0.232663
0.207921	0.969397	0.905941	0.235463	0.232621
0.207921	0.968497	0.905116	0.232267	0.232587
0.207921	0.967597	0.90429	0.229145	0.23257
0.217822	0.967597	0.905116	0.240079	0.232495
0.217822	0.966697	0.90429	0.236983	0.232485
0.227723	0.966697	0.905116	0.247717	0.232379
0.227723	0.965797	0.90429	0.244647	0.232357
0.227723	0.964896	0.903465	0.241642	0.232296
0.227723	0.963996	0.90264	0.2387	0.231795
0.237624	0.963996	0.903465	0.249167	0.231511
0.237624	0.963096	0.90264	0.246247	0.231401
0.237624	0.962196	0.901815	0.243384	0.231263
0.237624	0.961296	0.90099	0.240578	0.231029
0.247525	0.961296	0.901815	0.250798	0.230705
0.257426	0.961296	0.90264	0.260893	0.230647
0.267327	0.961296	0.903465	0.270867	0.230623
0.267327	0.960396	0.90264	0.268011	0.230573
0.277228	0.960396	0.903465	0.277836	0.230471
0.277228	0.959496	0.90264	0.275002	0.230288
0.277228	0.958596	0.901815	0.272219	0.230269
0.287129	0.958596	0.90264	0.281874	0.230233
0.287129	0.957696	0.901815	0.279111	0.230163
0.29703	0.957696	0.90264	0.288634	0.230058
0.29703	0.956796	0.901815	0.28589	0.229999
0.29703	0.955896	0.90099	0.283192	0.229996
0.29703	0.954995	0.900165	0.280539	0.22996
0.29703	0.954095	0.89934	0.277929	0.229882
0.29703	0.953195	0.898515	0.275361	0.229733
0.306931	0.953195	0.89934	0.284653	0.229671
0.316832	0.953195	0.900165	0.293853	0.228769
0.316832	0.952295	0.89934	0.291275	0.228754
0.316832	0.951395	0.898515	0.288736	0.22782
0.326733	0.951395	0.89934	0.297801	0.224914
0.326733	0.950495	0.898515	0.295277	0.224711
0.326733	0.949595	0.89769	0.292791	0.224556
0.326733	0.948695	0.896865	0.29034	0.22451
0.326733	0.947795	0.89604	0.287925	0.223935
0.326733	0.946895	0.895215	0.285545	0.223384
0.336634	0.946895	0.89604	0.294413	0.222712
0.346535	0.946895	0.896865	0.303205	0.222213
0.356436	0.946895	0.89769	0.311921	0.222191
0.356436	0.945995	0.896865	0.30951	0.221602
0.356436	0.945095	0.89604	0.307132	0.22046
0.356436	0.944194	0.895215	0.304786	0.219815
0.356436	0.943294	0.894389	0.30247	0.219157
0.356436	0.942394	0.893564	0.300185	0.218707
0.356436	0.941494	0.892739	0.29793	0.218222
0.356436	0.940594	0.891914	0.295703	0.218194
0.366337	0.940594	0.892739	0.30421	0.21653
0.366337	0.939694	0.891914	0.301992	0.215882
0.366337	0.938794	0.891089	0.299802	0.215784
0.366337	0.937894	0.890264	0.297639	0.215118
0.376238	0.937894	0.891089	0.306024	0.21478
0.376238	0.936994	0.890264	0.303869	0.213878
0.376238	0.936094	0.889439	0.301739	0.213693
0.376238	0.935194	0.888614	0.299635	0.212075
0.376238	0.934293	0.887789	0.297555	0.211685
0.376238	0.933393	0.886964	0.295499	0.211515
0.376238	0.932493	0.886139	0.293467	0.211172
0.376238	0.931593	0.885314	0.291458	0.210968
0.386139	0.931593	0.886139	0.299658	0.210764
0.386139	0.930693	0.885314	0.297654	0.210478
0.386139	0.929793	0.884488	0.295672	0.21013
0.386139	0.928893	0.883663	0.293712	0.209353
0.386139	0.927993	0.882838	0.291773	0.208281
