Sn	Sp	Acc	MCC	<<Cutoff
0	1	0.932057	-nan	1000
0.056338	0.985626	0.922488	0.0811647	0.230809
0.056338	0.9846	0.921531	0.0771047	0.230797
0.0704225	0.9846	0.922488	0.101058	0.230791
0.0704225	0.983573	0.921531	0.0968291	0.230775
0.084507	0.983573	0.922488	0.119338	0.230775
0.084507	0.982546	0.921531	0.115011	0.230775
0.084507	0.98152	0.920574	0.11092	0.230764
0.084507	0.980493	0.919617	0.107041	0.23076
0.0985915	0.980493	0.920574	0.127769	0.23076
0.112676	0.980493	0.921531	0.147783	0.230755
0.126761	0.980493	0.922488	0.16714	0.230747
0.126761	0.979466	0.921531	0.162741	0.23074
0.126761	0.978439	0.920574	0.158537	0.230716
0.126761	0.977413	0.919617	0.154513	0.230664
0.140845	0.977413	0.920574	0.172726	0.23064
0.15493	0.977413	0.921531	0.190441	0.230636
0.15493	0.976386	0.920574	0.186256	0.230621
0.169014	0.976386	0.921531	0.203366	0.230582
0.183099	0.976386	0.922488	0.220055	0.230562
0.183099	0.975359	0.921531	0.21577	0.23056
0.183099	0.974333	0.920574	0.211638	0.230541
0.197183	0.974333	0.921531	0.22771	0.230481
0.211268	0.974333	0.922488	0.24343	0.230333
0.211268	0.973306	0.921531	0.239232	0.230039
0.211268	0.972279	0.920574	0.235169	0.22986
0.211268	0.971253	0.919617	0.231234	0.229815
0.225352	0.971253	0.920574	0.246354	0.22954
0.225352	0.970226	0.919617	0.24245	0.229263
0.225352	0.969199	0.91866	0.238661	0.2292
0.225352	0.968172	0.917703	0.23498	0.228782
0.225352	0.967146	0.916746	0.231402	0.228001
0.225352	0.966119	0.915789	0.227921	0.227888
0.239437	0.966119	0.916746	0.242349	0.227763
0.239437	0.965092	0.915789	0.238883	0.227244
0.239437	0.964066	0.914833	0.235506	0.227188
0.253521	0.964066	0.915789	0.249544	0.227061
0.253521	0.963039	0.914833	0.24618	0.227043
0.267606	0.963039	0.915789	0.259928	0.226076
0.28169	0.963039	0.916746	0.273465	0.224973
0.28169	0.962012	0.915789	0.270055	0.222479
0.28169	0.960986	0.914833	0.266724	0.221152
0.295775	0.960986	0.915789	0.279945	0.220884
0.295775	0.959959	0.914833	0.276632	0.220057
0.309859	0.959959	0.915789	0.289612	0.219285
0.309859	0.958932	0.914833	0.28632	0.218677
0.323944	0.958932	0.915789	0.299074	0.217633
0.323944	0.957906	0.914833	0.295802	0.217586
