Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os01t0100100-01	Os01g0100100	RabGAP/TBC domain containing protein.							Molecular Function: Rab GTPase activator activity (GO:0005097), Cellular Component: intracellular (GO:0005622), Biological Process: regulation of Rab GTPase activity (GO:0032313)	RabGAP/TBC (IPR000195)	AK242339 (DDBJ, antisense transcript)	Q655M0 (UniProt)			J075199P03	
Os01t0100200-01	Os01g0100200	Conserved hypothetical protein.									AK059894 (DDBJ, Best hit)	B8ACR2 (UniProt)			006-208-E01	
Os01t0100300-00	Os01g0100300	Cytochrome P450 domain containing protein.							Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)	Cytochrome P450 (IPR001128)	AK365211 (DDBJ)	B9EYQ3 (UniProt)				
Os01t0100400-01	Os01g0100400	Similar to Pectinesterase-like protein.							Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: copper ion binding (GO:0005507), Molecular Function: oxidoreductase activity (GO:0016491)	Multicopper oxidase, type 1 (IPR001117), Cupredoxin (IPR008972), Multicopper oxidase, type 2 (IPR011706), Multicopper oxidase, type 3 (IPR011707)	AK101455 (DDBJ, Best hit)	Q1EPX7 (UniProt)			J033040A20	
Os01t0100466-00	Os01g0100466	Hypothetical protein.									tplb0021n10 (Wheat FLcDNA)	longestORF				
Os01t0100500-01	Os01g0100500	Immunoglobulin-like domain containing protein.									AK067316 (DDBJ, Best hit)	A2WJL2 (UniProt)			J013104J17	
Os01t0100600-01	Os01g0100600	Single-stranded nucleic acid binding R3H domain containing protein.							Molecular Function: nucleic acid binding (GO:0003676)	Single-stranded nucleic acid binding R3H (IPR001374), SUZ domain (IPR024771)	AK121362 (DDBJ, Best hit)	B9EYQ6 (UniProt)			J023124E16	
Os01t0100650-00	Os01g0100650	Hypothetical gene.									EU948781 (DDBJ)	longestORF				
Os01t0100700-01	Os01g0100700	Similar to 40S ribosomal protein S5-1.					RPS5	ribosomal protein S5, ribosomal protein small subunit 5	Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Cellular Component: small ribosomal subunit (GO:0015935), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)	Ribosomal protein S7 (IPR000235), Ribosomal protein S7, eukaryotic/archaeal (IPR005716), Ribosomal protein S7, conserved site (IPR020606), Ribosomal protein S7 domain (IPR023798)	AK121523 (DDBJ, Best hit), AK059844 (DDBJ, Best hit)	B3TLN7 (UniProt)			J033028P14, 006-206-E02	22169
Os01t0100800-01	Os01g0100800	Protein of unknown function DUF1664 family protein.								Protein of unknown function DUF1664 (IPR012458)	AK122012 (DDBJ, Best hit)	B8ACR5 (UniProt)			J033111I18	
Os01t0100900-01	Os01g0100900	Sphingosine-1-phosphate lyase, Disease resistance response	SPL1, OsSPL1	SPHINGOSINE-1-PHOSPHATE LYASE 1, Sphingosine-1-Phoshpate Lyase 1			OsSPL, OsSPL1	Sphingosine-1-phosphate lyase, sphingosine-1-phosphate lyase 1	Biological Process: carboxylic acid metabolic process (GO:0019752), Molecular Function: catalytic activity (GO:0003824), Molecular Function: carboxy-lyase activity (GO:0016831), Molecular Function: pyridoxal phosphate binding (GO:0030170)	Pyridoxal phosphate-dependent decarboxylase (IPR002129), Pyridoxal phosphate-dependent transferase (IPR015424), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (IPR015421)	AY972084, AK243573	Q52RG7, B7FAK6	July 9, 2015	22889013	J100082C01	15128
Os01t0101150-00	Os01g0101150	Hypothetical conserved gene.							Molecular Function: binding (GO:0005488)	Pentatricopeptide repeat (IPR002885), Tetratricopeptide-like helical (IPR011990)	ab initio prediction	Q7F2F8 (UniProt)				
Os01t0101175-00	Os01g0101175	Non-protein coding transcript.									BT084741 (DDBJ)	NONE				
Os01t0101200-01	Os01g0101200	2, 3-diketo-5-methylthio-1-phosphopentane phosphatase domain containing protein.							Biological Process: L-methionine salvage from methylthioadenosine (GO:0019509), Molecular Function: acireductone synthase activity (GO:0043874), Molecular Function: metal ion binding (GO:0046872)	2, 3-diketo-5-methylthio-1-phosphopentane phosphatase (IPR010041), HAD-like domain (IPR023214)	AK067866 (DDBJ, Best hit), AK104517 (DDBJ, Best hit), AK104625 (DDBJ, Best hit), AK104752 (DDBJ, Best hit)	NP_974931.1 (RefSeq)			J013127C12, 006-303-C10, 006-310-A09, 001-038-F07	
